Policy_Number,Customer_ID,Vehicle_ID,Vehicle_Make,Policy_Start_Date,Policy_End_Date,Premium_Amount,Claim_Number,Payment_Date,Payment_Method,Coverage_Type,Agent_ID,Region_Name,Policy_Term,Deductible,Claim_Date,Claim_Amount,Claim_Status,Claim_Type
P54483652,CUST0001,V637983,Mercedes,5/25/2022,3/12/2024,600,CLM7996,12/30/2024,Cash,Third Party,AG107,Central,6 months,284,9/3/2024,1044,Denied,Flood
P98514034,CUST0002,V736783,Chevrolet,11/3/2022,11/10/2025,681,CLM7688,3/24/2024,Credit Card,Third Party,AG107,East,6 months,989,4/19/2023,1274,Denied,Theft
P34409920,CUST0003,V798847,Hyundai,2/15/2023,5/23/2025,1314,CLM2799,1/16/2024,Bank Transfer,Comprehensive,AG107,East,6 months,975,3/14/2024,1583,Denied,Accident
P77135592,CUST0004,V590107,Hyundai,12/4/2023,6/1/2025,1229,CLM7846,10/1/2023,Credit Card,Comprehensive,AG107,West,6 months,728,8/26/2023,9549,Denied,Accident
P28628686,CUST0005,V702392,Volkswagen,12/1/2023,3/22/2025,1547,CLM3841,9/3/2024,Bank Transfer,Comprehensive,AG107,Central,6 months,815,8/4/2023,3914,Pending,Accident
P96003943,CUST0006,V671126,Ford,5/8/2022,10/31/2024,1046,CLM9002,9/8/2024,Credit Card,Third Party,AG107,West,12 months,515,2/4/2024,2608,Pending,Flood
P13860939,CUST0007,V312142,Volkswagen,4/30/2022,4/29/2024,1954,CLM3422,3/13/2023,Credit Card,Third Party,AG107,South,6 months,959,12/9/2023,1872,Approved,Vandalism
P86828566,CUST0008,V468550,Kia,8/7/2022,1/18/2025,1680,CLM2991,5/17/2023,Cash,Comprehensive,AG107,North,6 months,746,6/25/2024,6921,Denied,Flood
P52770522,CUST0009,V542583,Nissan,10/25/2022,5/21/2025,1432,CLM5897,2/10/2024,Cash,Third Party,AG107,North,12 months,276,4/9/2023,8544,Denied,Flood
P76316666,CUST0010,V331563,Toyota,11/15/2023,1/31/2024,587,CLM8547,12/3/2024,Bank Transfer,Collision,AG107,South,6 months,413,7/8/2024,7230,Denied,Flood
P41627340,CUST0011,V944562,Volkswagen,1/18/2022,2/23/2024,1864,CLM7593,3/26/2024,Cash,Comprehensive,AG107,North,6 months,959,5/31/2024,8780,Approved,Vandalism
P20783095,CUST0012,V387168,Hyundai,7/19/2023,11/14/2024,1214,CLM6327,6/28/2024,Credit Card,Third Party,AG107,North,6 months,283,8/6/2023,6711,Pending,Flood
P70059521,CUST0013,V991772,Volkswagen,3/17/2023,7/17/2025,1413,CLM6226,4/14/2024,Credit Card,Collision,AG107,North,6 months,504,6/16/2023,7669,Pending,Accident
P86266203,CUST0014,V254467,Hyundai,5/16/2023,11/10/2024,1005,CLM8178,4/28/2024,Cash,Third Party,AG107,West,6 months,297,11/13/2023,4768,Approved,Vandalism
P59676571,CUST0015,V123047,BMW,5/11/2023,8/15/2024,584,CLM5897,10/26/2023,Bank Transfer,Third Party,AG107,North,12 months,864,7/16/2024,6229,Denied,Accident
P60805851,CUST0016,V367070,Chevrolet,12/6/2023,11/6/2024,1170,CLM9162,3/6/2024,Cash,Comprehensive,AG107,North,6 months,969,5/5/2023,3990,Pending,Flood
P70156367,CUST0017,V626409,Kia,5/9/2022,2/10/2024,1171,CLM1044,5/2/2024,Credit Card,Comprehensive,AG107,South,6 months,929,8/6/2024,6677,Pending,Vandalism
P49518357,CUST0018,V467548,Kia,7/7/2023,11/11/2024,713,CLM8992,2/19/2023,Bank Transfer,Collision,AG107,South,6 months,856,2/26/2023,4175,Denied,Theft
P18362451,CUST0019,V981963,Volkswagen,2/4/2023,5/23/2024,597,CLM5621,9/15/2024,Cash,Collision,AG107,West,6 months,607,11/6/2023,2947,Approved,Flood
P26620305,CUST0020,V289398,Chevrolet,9/25/2023,2/27/2024,1626,CLM6292,4/9/2023,Credit Card,Collision,AG107,West,6 months,605,10/18/2023,8755,Denied,Accident
P83265008,CUST0021,V799574,Kia,7/21/2023,4/8/2025,1669,CLM6754,10/14/2024,Cash,Third Party,AG107,East,6 months,959,12/30/2024,9638,Approved,Flood
P48983494,CUST0022,V326417,Volkswagen,4/17/2023,11/30/2025,970,CLM4442,3/2/2024,Bank Transfer,Collision,AG107,North,6 months,439,1/1/2024,1529,Approved,Accident
P45400881,CUST0023,V159448,BMW,11/18/2022,4/6/2024,980,CLM2020,4/24/2023,Cash,Third Party,AG107,West,12 months,963,10/7/2023,4102,Pending,Flood
P99764725,CUST0024,V160854,Mercedes,12/3/2022,1/17/2025,767,CLM7552,9/25/2024,Cash,Comprehensive,AG107,South,6 months,849,4/11/2023,9922,Approved,Vandalism
P57291676,CUST0025,V372500,Chevrolet,3/25/2023,12/26/2024,1539,CLM9905,12/17/2024,Bank Transfer,Third Party,AG107,East,6 months,717,10/15/2023,4172,Approved,Theft
P48314591,CUST0026,V619286,Mercedes,9/13/2023,4/20/2025,1619,CLM8165,9/15/2024,Bank Transfer,Third Party,AG107,North,6 months,760,6/9/2024,5565,Approved,Theft
P62150550,CUST0027,V583196,Ford,7/14/2022,6/15/2025,1765,CLM6291,8/8/2023,Cash,Comprehensive,AG107,East,12 months,191,12/25/2023,5448,Approved,Theft
P56900189,CUST0028,V781124,Ford,7/30/2023,8/30/2025,1956,CLM9028,6/2/2023,Cash,Collision,AG107,East,12 months,831,3/26/2024,8576,Pending,Flood
P65223731,CUST0029,V639749,Honda,12/26/2022,4/2/2025,1341,CLM2074,1/13/2024,Credit Card,Collision,AG107,Central,12 months,551,6/20/2024,5657,Denied,Theft
P47809507,CUST0030,V120386,Hyundai,4/25/2022,5/12/2025,610,CLM8803,5/25/2023,Cash,Third Party,AG107,East,6 months,959,7/30/2024,3715,Denied,Flood
P83460587,CUST0031,V451461,Hyundai,3/14/2023,1/18/2024,913,CLM8584,1/22/2024,Cash,Comprehensive,AG107,West,6 months,567,5/27/2023,9075,Pending,Flood
P73640200,CUST0032,V520889,Mercedes,6/19/2022,3/6/2025,1791,CLM9791,5/26/2023,Credit Card,Comprehensive,AG107,West,6 months,441,7/9/2023,2493,Approved,Flood
P99829738,CUST0033,V764813,Chevrolet,4/18/2022,1/19/2025,1395,CLM2371,8/17/2024,Cash,Collision,AG107,South,6 months,836,10/4/2023,5156,Denied,Vandalism
P94448042,CUST0034,V725700,Kia,1/30/2023,8/4/2025,1774,CLM4382,7/15/2024,Bank Transfer,Comprehensive,AG107,East,6 months,479,12/19/2023,5153,Approved,Flood
P92722612,CUST0035,V408107,Volkswagen,7/28/2022,10/2/2025,972,CLM8470,9/5/2023,Bank Transfer,Collision,AG107,Central,6 months,171,7/16/2023,8830,Pending,Flood
P21614652,CUST0036,V344384,BMW,12/31/2023,5/19/2024,945,CLM8681,6/29/2023,Credit Card,Third Party,AG107,East,12 months,959,7/29/2024,1570,Denied,Theft
P85337754,CUST0037,V719208,Chevrolet,7/2/2022,10/7/2025,837,CLM7331,9/4/2024,Bank Transfer,Collision,AG107,South,6 months,171,1/27/2023,5039,Denied,Flood
P87950906,CUST0038,V139714,Ford,9/15/2022,9/14/2024,1066,CLM7489,9/4/2024,Credit Card,Comprehensive,AG100,North,12 months,536,4/24/2024,6914,Approved,Flood
P71644100,CUST0039,V231037,Toyota,6/12/2022,8/16/2024,759,CLM8283,2/4/2024,Bank Transfer,Third Party,AG102,East,6 months,959,8/27/2023,5379,Denied,Accident
P35944311,CUST0040,V272677,Honda,4/28/2022,12/25/2024,752,CLM9164,4/10/2024,Cash,Collision,AG103,Central,12 months,242,9/4/2024,4640,Denied,Flood
P15274769,CUST0041,V105644,Volkswagen,10/10/2022,4/28/2025,574,CLM3997,4/7/2023,Credit Card,Collision,AG100,Central,6 months,145,11/11/2024,7005,Pending,Flood
P87619920,CUST0042,V402467,Volkswagen,5/9/2022,5/29/2024,1894,CLM3842,11/3/2024,Bank Transfer,Third Party,AG108,West,6 months,959,7/26/2024,4579,Approved,Vandalism
P79698815,CUST0043,V810725,Ford,5/1/2022,11/21/2024,1382,CLM8789,5/26/2024,Credit Card,Collision,AG100,South,12 months,289,1/11/2023,8071,Denied,Theft
P58619545,CUST0044,V290367,BMW,2/8/2023,3/18/2024,1902,CLM7806,8/21/2023,Credit Card,Collision,AG103,North,12 months,268,2/16/2023,4218,Approved,Vandalism
P75788998,CUST0045,V735895,Honda,6/23/2022,2/20/2025,1107,CLM4376,8/11/2024,Credit Card,Comprehensive,AG101,North,12 months,615,10/10/2024,7499,Approved,Flood
P24194600,CUST0046,V587846,Nissan,5/6/2022,10/5/2024,521,CLM4612,7/22/2023,Credit Card,Comprehensive,AG102,East,12 months,846,5/20/2024,9544,Pending,Vandalism
P94468258,CUST0047,V977517,Volkswagen,7/20/2023,11/5/2024,1955,CLM2298,12/13/2024,Bank Transfer,Comprehensive,AG101,East,6 months,959,12/10/2024,5743,Approved,Vandalism
P34704585,CUST0048,V326593,Kia,11/29/2022,10/9/2025,797,CLM1117,10/14/2023,Credit Card,Third Party,AG103,North,6 months,959,1/16/2023,1645,Pending,Flood
P54143290,CUST0049,V905937,Mercedes,5/20/2023,3/7/2025,896,CLM8469,3/3/2024,Credit Card,Third Party,AG104,South,6 months,959,12/21/2023,1474,Denied,Flood
P95749224,CUST0050,V596290,Ford,8/8/2022,12/19/2024,796,CLM7816,5/10/2024,Credit Card,Collision,AG104,East,12 months,220,12/18/2023,6095,Pending,Vandalism
P39550429,CUST0051,V121568,Ford,2/25/2022,10/30/2025,1961,CLM9499,10/14/2024,Bank Transfer,Collision,AG104,South,12 months,654,5/14/2024,7944,Denied,Flood
P25942258,CUST0052,V863169,Volkswagen,6/4/2023,6/21/2024,1442,CLM9570,10/9/2024,Bank Transfer,Third Party,AG101,South,6 months,959,8/10/2024,1135,Pending,Flood
P94353029,CUST0053,V458198,Honda,8/21/2023,5/12/2024,1687,CLM1065,3/9/2024,Cash,Comprehensive,AG101,South,12 months,209,5/6/2024,9143,Pending,Flood
P90235298,CUST0054,V299949,Kia,9/23/2023,1/27/2025,1582,CLM3302,6/6/2024,Cash,Comprehensive,AG102,North,6 months,271,10/25/2023,1735,Denied,Flood
P82001562,CUST0055,V340385,Ford,11/12/2022,3/20/2024,1019,CLM8577,1/20/2023,Cash,Collision,AG103,West,12 months,878,5/8/2024,1676,Pending,Flood
